orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
34.4602,4.2544,-200.0477,37.9576,4.7687,-199.2547
-13.1711,-12.0923,-228.6222,-14.2083,-13.1753,-231.147
-86.7689,-24.915,-209.2317,-93.101,-26.5772,-209.0881
-84.2423,23.7957,-196.7727,-90.9084,26.1314,-194.4473
-11.5347,-45.429,-232.7348,-12.6088,-49.6541,-235.6527
73.4832,-0.4483,-239.7971,79.4487,0.919,-242.6654
-2.2376,70.5064,-198.7608,-2.0084,75.6797,-197.2444
-12.8651,5.1458,-238.0042,-13.9461,5.987,-241.1889
-0.6488,71.0711,-231.9438,-0.6063,75.982,-233.733
-77.3694,-7.8964,-206.2128,-83.3056,-8.1826,-205.583
-10.3818,-96.0925,-192.6325,-11.2638,-105.6902,-190.905
71.3234,4.3261,-203.6619,77.949,5.7572,-203.4229
22.562,-45.9524,-198.0648,24.2186,-50.7688,-197.2764
92.5781,-14.3027,-215.6206,100.2073,-13.3971,-216.8689
-21.9664,75.81,-210.8847,-24.0509,81.0825,-210.6074
17.3737,67.8253,-226.0938,19.4484,72.808,-227.5177
-28.3873,-7.1854,-229.1326,-30.6871,-7.6354,-231.542
-18.049,-2.1796,-201.3994,-19.1281,-2.4707,-200.5662
-29.2117,84.5483,-212.4352,-32.197,90.0663,-212.0533
-37.0637,59.9896,-193.6471,-40.2644,64.3438,-191.1952
-63.5174,-52.6206,-200.5371,-67.8317,-57.959,-199.6463
-27.787,-46.9336,-234.2604,-30.0352,-51.1632,-237.1137
88.0201,38.5531,-236.5245,95.7075,42.8628,-237.8306
-16.6467,75.5872,-226.6343,-18.3152,80.6837,-227.7963
54.7478,-80.3308,-211.7995,58.0082,-87.2068,-213.2161
-83.7893,14.6832,-191.6485,-90.1584,16.1759,-188.9747
13.23,89.54,-235.0544,14.5821,95.1893,-236.6078
-55.198,58.5123,-238.0967,-60.3268,62.4643,-239.3564
34.2321,-38.1932,-216.4933,36.956,-41.6498,-218.3054
3.8029,-77.2057,-229.1801,3.6779,-84.3148,-231.5157
-65.495,-35.5833,-233.0673,-70.3738,-38.2736,-235.3085
-59.0596,-48.5551,-236.444,-63.3055,-52.4683,-238.9787
-78.3679,-28.2575,-213.1461,-84.1505,-30.3966,-213.5365
14.1665,33.4059,-228.2008,15.8122,36.3366,-230.4467
-33.4473,23.8583,-212.2354,-36.1489,26.0758,-212.4802
68.0623,44.7543,-238.2225,74.36,48.8545,-240.0295
24.8091,-81.7573,-239.6573,25.9207,-88.4161,-242.8366
13.7259,-21.4061,-229.4934,14.8847,-23.4667,-232.3784
41.128,88.6495,-206.4219,46.0757,94.7436,-205.541
-64.0553,-37.382,-220.3879,-68.8125,-40.5912,-221.6902
-49.0279,57.5961,-225.0822,-53.6819,61.79,-225.7034
39.7412,-12.9258,-226.464,43.2415,-13.6786,-229.109
23.5478,-2.437,-209.7243,25.8991,-2.5842,-210.46
45.9467,-78.2022,-199.179,48.6189,-85.4656,-199.0544
-35.7618,-82.2473,-239.5619,-38.0454,-89.3368,-242.0538
82.6257,-42.8533,-237.1102,88.3707,-44.3874,-240.3281
50.0888,-22.8964,-237.1747,54.0869,-24.0631,-240.5375
31.6183,-69.1168,-226.5284,33.4193,-75.135,-229.0939
21.1288,-66.2656,-190.7025,22.2734,-73.0145,-189.1116
-75.711,47.5116,-239.9799,-82.3144,50.9936,-240.7922
-53.7885,-57.8553,-195.5275,-57.3637,-63.9434,-193.9749
-82.0839,-4.7199,-225.417,-88.5184,-4.3759,-226.3785
6.5728,-3.8499,-231.2933,7.0704,-4.1591,-234.1493
-20.2315,13.1036,-205.6609,-21.6789,14.4564,-205.2831
-45.2483,51.3272,-224.8832,-49.4457,55.2056,-225.7595
-39.1995,48.5143,-235.59,-42.7457,52.0059,-237.533
21.9789,2.2123,-234.1714,24.0631,2.6133,-237.2894
-7.967,-1.2303,-218.007,-8.2571,-1.1433,-219.3833
-73.4257,53.5055,-191.2678,-79.5432,57.474,-188.2004
63.4956,11.3518,-222.8314,69.3642,13.3347,-224.5269
16.05,45.7051,-231.5389,17.885,49.3664,-233.8186
-71.7348,-60.1056,-223.2485,-76.4697,-65.3085,-224.6272
-6.0466,-79.8652,-194.5098,-6.669,-88.1319,-193.0286
-25.3349,-41.3784,-223.5295,-27.3965,-45.4077,-225.5277
19.6849,-56.4874,-196.7308,20.9314,-62.3508,-195.7892
-12.2496,-64.7866,-232.6256,-13.3511,-70.7575,-235.274
62.1496,-64.6376,-230.7941,66.1226,-69.0874,-233.8501
-48.4915,-19.9434,-219.1908,-52.3276,-21.6509,-220.4781
8.5168,87.3564,-209.0689,9.858,93.2596,-208.7645
28.5951,-31.9664,-204.0762,31.0281,-35.2413,-204.1592
7.7835,17.354,-213.005,8.82,19.2278,-213.8622
-8.1049,-28.7226,-210.3128,-8.6665,-31.9125,-210.8999
-38.2012,-33.317,-190.5953,-40.9358,-36.9983,-188.303
-22.4898,64.6971,-236.7862,-24.6472,69.0532,-238.7771
78.9978,13.0799,-227.2764,85.952,15.6864,-228.9461
-68.5606,29.8321,-238.2779,-74.3747,32.3134,-239.8271
21.776,-10.6456,-211.1702,23.8685,-11.7148,-212.1473
-47.9064,86.2678,-211.9673,-52.809,91.7237,-211.0244
9.5596,46.7106,-217.8993,10.9053,50.6428,-218.9467
61.8297,-29.055,-226.5864,66.7394,-30.5285,-229.2666
-19.6871,-20.7865,-206.5567,-21.0791,-23.0798,-206.4568
-41.9973,-2.2656,-200.539,-45.2076,-2.5377,-199.3066
-24.824,-63.4419,-194.731,-26.543,-70.2496,-193.1146
31.8611,22.6498,-197.1411,35.3644,24.8068,-195.7116
37.8568,7.2969,-237.9373,41.3066,8.2626,-241.1598
-29.8881,-81.9246,-237.3769,-31.8738,-89.1349,-239.8049
2.1434,-45.3773,-212.629,2.2126,-50.1262,-213.6549
