orig_x,orig_y,orig_z,comp_x,comp_y,comp_z
33.2355,43.4116,-218.9345,36.9583,47.2229,-220.0391
18.2121,-10.2646,-233.7418,19.8398,-11.1125,-236.8982
-81.3379,22.8739,-227.6441,-88.1153,25.2731,-228.1361
-14.5221,34.8618,-226.8916,-15.6876,37.8248,-228.8501
-20.8781,28.7353,-213.8192,-22.5378,31.3769,-214.3576
27.8021,74.7311,-193.8797,31.2666,80.1902,-191.7714
47.1869,12.758,-214.0385,51.881,14.4233,-215.0675
-22.5508,-22.9469,-217.3752,-24.3164,-25.2483,-218.7026
-2.6041,-8.5383,-207.2551,-2.5361,-9.7392,-207.3782
-51.4413,-75.5667,-225.026,-54.7004,-82.5528,-226.5252
-3.5108,-15.5912,-212.4055,-3.6208,-17.4607,-213.2707
-81.0315,-55.5075,-199.9479,-86.286,-60.7543,-199.0686
-70.8068,-22.4263,-220.7757,-76.2277,-23.9936,-221.9171
-14.7308,-11.1406,-211.946,-15.662,-12.3136,-212.578
-97.4406,-10.6465,-206.685,-104.6507,-10.6532,-205.8853
-53.6937,15.8377,-228.2795,-58.1535,17.4088,-229.9359
42.2633,-85.8893,-220.8172,44.4888,-93.316,-222.8057
70.5121,-31.0872,-226.1016,76.0079,-32.4068,-228.7041
-5.5618,-86.6876,-238.5753,-6.2238,-94.2265,-241.2517
13.5451,-15.2178,-206.6367,14.8579,-17.0175,-206.9007
2.0193,90.5538,-195.3685,2.7467,96.4916,-193.5037
-25.9483,11.154,-238.3643,-28.0636,12.3015,-241.4311
-25.6102,-0.3598,-215.4755,-27.5269,-0.2026,-216.3685
31.1903,40.5429,-233.967,34.4231,43.8997,-236.4039
-16.4012,8.1601,-209.9853,-17.4789,9.138,-210.2664
25.53,-41.1132,-215.9069,27.4912,-45.0604,-217.5821
63.3397,-33.4586,-220.4717,68.3864,-35.4244,-222.7165
62.8958,15.689,-223.9811,68.7587,17.9877,-225.6842
-38.5156,-80.4244,-216.9668,-40.9924,-88.327,-217.7897
16.5592,-53.7503,-194.186,17.6055,-59.4072,-192.8527
7.7781,65.816,-228.608,8.7894,70.605,-230.2944
-68.4162,32.7133,-209.8555,-74.2459,35.6769,-209.0705
-10.955,98.5783,-215.3117,-12.0733,104.6109,-215.3165
59.8829,-74.6332,-222.8377,63.5479,-80.3865,-225.2945
-18.6358,-22.8152,-218.3708,-20.0911,-25.1316,-219.8528
-68.9568,-21.0994,-212.7679,-74.2155,-22.7338,-213.1555
6.3156,-10.1108,-190.6141,6.9744,-11.7619,-188.3435
-7.8827,21.2105,-207.7996,-8.303,23.3281,-207.7855
-82.6267,-10.2542,-239.1041,-88.9211,-10.3672,-241.008
